"example"	"label"
"???? Mitglied des @europarl_EN ??️ Sprecherin der @theprogressives im Ausschuss für bürgerliche Freiheiten, Justiz & Inneres ??Soest, NRW"	"6 keine Kategorie"
"Was mit Bildung. Bildungsfrau, mit viel politischer Erfahrung. Geforscht über #Bildungschancen in der #Kita. Jetzt unterwegs, um genau darüber zu diskutieren."	"6 keine Kategorie"
"Papa, Familienmensch, BVB-Fan und politischer Überzeugungstäter"	"6 keine Kategorie"
"Landessprecher und Fraktionsvorsitzender der AfD Thüringen"	"5 AfD: ökonomisch rechts + autoritär"
"???? CDU-Bundestagsabgeordneter ?? Stadt- und Kreis Offenbach ✈️ Verkehrs- & ?? Umweltpolitiker"	"3 CDU/CSU: ökonomisch neutral + autoritär"
"Seit 2002 Abgeordneter im Thüringer Landtag, seit 2009 mit Direktmandat. Mein Team und ich meinen: Mehr Demokratie wagen - Politik muss erklären, nicht belehren"	"6 keine Kategorie"
"parlamentarischer Geschäftsführer @linke_LTSachsen Sprecher für Klimaschutz, Energie & Mobilität. Klimaaktivist & Antifaschist. @linXXnet"	"0 Linke: ökonomisch links + libertär"
"Film, Kultur und Eisern."	"6 keine Kategorie"
"Ich heiße Elombo Bolayela und bin 25 Jahre alt. Familienvater,Im Betriebsrat,Kandidat 21 der SPD-Liste für die Bürgerschaftswahl am 22. Mai 2011"	"2 SPD: ökonomisch neutral + libertär/autoritär"
"Im Landtag Brandenburg,für die Brandenburger Interessen"	"6 keine Kategorie"
"Carsten Borchert #CDU MdL #SachsenAnhalt #Salzwedel #Altmark"	"3 CDU/CSU: ökonomisch neutral + autoritär"
"Hessischer Ministerpräsident @RegHessen. Hier twittert das Team von Boris Rhein (Red). https://t.co/pbBKBouwG2"	"6 keine Kategorie"
"Landtagsabgeordneter in Bayern für Bündnis 90 / Die Grünen"	"1 Grüne: ökonomisch neutral + libertär"
"MdB für die #Südpfalz | Parl. Staatssekretär @bmbf_bund | @EYL20 | (TB) = Team Brandenburg"	"6 keine Kategorie"
"Politikerin. Mama. Stellvertr. Vors. CDU Deutschland, Bundestagsabgeordnete Oldenburger Münsterland. Echtes Landkind. Heimatliebe. Kann uk Platt verstaohn. Moin"	"3 CDU/CSU: ökonomisch neutral + autoritär"
"Direkt gewählter Abgeordneter im Wahlkreis Nürnberg-Nord | Finanz- und haushaltspolitischer Sprecher der CSU im Deutschen Bundestag | Mitglied im CSU-Präsidium"	"3 CDU/CSU: ökonomisch neutral + autoritär"
"Vorsitzende der Bundestagsfraktion Bündnis 90/Die Grünen ?? // Das Team tweetet unter: /TBH"	"1 Grüne: ökonomisch neutral + libertär"
"Bundestagsabgeordneter für den Wahlkreis 122 - Recklinghausen II (Datteln, Haltern am See, Herten, Marl und Oer-Erkenschwick), NRW"	"6 keine Kategorie"
"Bundestagsabgeordneter für den Wahlkreis #Lübeck | Im Bundestag: Haushalt & Finanzen | Mitglied Lübecker Bürgerschaft | Parteirat @Gruene_SH | Psychologe MSc"	"1 Grüne: ökonomisch neutral + libertär"
"Staatssekretär für Digitalisierung in Sachsen-Anhalt | Hier natürlich privat."	"6 keine Kategorie"
"#Freigeist | #Bayern | Bundestagsabgeordnete @fdpbt | Mitglied im Ausschuss für Inneres und Heimat | Mitglied im Petitionsausschuss"	"4 FDP: ökonomisch rechts + libertär/autoritär"
"Abgeordnete @linksfraktionST im Landtag von Sachsen-Anhalt, Wahlkreis Köthen"	"0 Linke: ökonomisch links + libertär"
"| Mitglied des Europäischen Parlaments | #AfD- Delegation innerhalb der Fraktion Identität und Demokratie #MEP, #INTA, #IMCO, #ITRE"	"5 AfD: ökonomisch rechts + autoritär"
"Eine Bürgerrechtsbewegung die für eine neue Weltwirtschaftsordnung kämpft - schaut euch die Welt an, wir brauchen dringend eine neue..."	"6 keine Kategorie"
"Heimatmensch für den ??südlichen #IlmKreis u. #Schmiedefeld. Parlamentarischer Geschäftsführer der @cdu_fraktion_th ????‍♂️ Mitglied des Landtag ??#bühlpacktan"	"3 CDU/CSU: ökonomisch neutral + autoritär"
"Mitglied des Landtags Brandenburg #linke_ltbb Sprecher für Soziales, Verbraucherschutz, Verkehr und Religion #Zionist ???? עם ישראל חי FCKBDS"	"0 Linke: ökonomisch links + libertär"
"Mitglied des Landtages von Sachsen-Anhalt | ehemaliges Mitglied des Deutschen Bundestages | Stadtrat der Hansestadt Stendal"	"6 keine Kategorie"
"Hier twittert das Social-Media-Team der Beauftragten der BReg für Kultur und Medien. Netiquette: https://t.co/EJZSVApZO2"	"6 keine Kategorie"
"Sprecherin für Familie und Bildung der @gruenefraktionb im @agh_berlin | Direktgewählte Abgeordnete aus Friedrichshain-Kreuzberg. Rechtsanwältin."	"1 Grüne: ökonomisch neutral + libertär"
"stellv. Vorsitzender Eisenbahn- und Verkehrsgewerkschaft (EVG); ehem. Mitglied des Deutschen Bundestages für die SPD (2005-01/2020)"	"2 SPD: ökonomisch neutral + libertär/autoritär"
"Mitglied des Europäischen Parlaments"	"6 keine Kategorie"
"#MdL, Parlamentarischer Geschäftsführer und Sprecher für Innenpolitik und Justiz- #gruene #gruenerlp #ltrlp #koblenz #rlp"	"1 Grüne: ökonomisch neutral + libertär"
"Die #CDU ist die Volkspartei der Mitte. Seit 1925. - Redaktion: https://t.co/NyHUkYQYT2 Impressum: https://t.co/ItwaUKUbve"	"3 CDU/CSU: ökonomisch neutral + autoritär"
